model,condition,judge,asr,asr_lo,asr_hi,frr,frr_lo,frr_hi,n_attack,n_benign,error_rate
Qwen/Qwen2.5-3B-Instruct,no_defense,harmbench,0.0550,0.0310,0.0958,0.1150,0.0779,0.1666,200,200,0.0000
Qwen/Qwen2.5-3B-Instruct,no_defense,keyword,0.1850,0.1373,0.2445,0.1150,0.0779,0.1666,200,200,0.0000
Qwen/Qwen2.5-3B-Instruct,with_defense,harmbench,0.0400,0.0204,0.0769,0.1050,0.0697,0.1552,200,200,0.0000
Qwen/Qwen2.5-3B-Instruct,with_defense,keyword,0.1850,0.1373,0.2445,0.1050,0.0697,0.1552,200,200,0.0000
google/gemma-2-2b-it,no_defense,harmbench,0.0100,0.0027,0.0357,0.0600,0.0347,0.1019,200,200,0.0000
google/gemma-2-2b-it,no_defense,keyword,0.0100,0.0027,0.0357,0.0600,0.0347,0.1019,200,200,0.0000
google/gemma-2-2b-it,with_defense,harmbench,0.0000,0.0000,0.0188,0.2750,0.2178,0.3407,200,200,0.0000
google/gemma-2-2b-it,with_defense,keyword,0.0000,0.0000,0.0188,0.2750,0.2178,0.3407,200,200,0.0000
meta-llama/Llama-3.2-3B-Instruct,no_defense,harmbench,0.0750,0.0460,0.1200,0.0800,0.0499,0.1260,200,200,0.0000
meta-llama/Llama-3.2-3B-Instruct,no_defense,keyword,0.0750,0.0460,0.1200,0.0800,0.0499,0.1260,200,200,0.0000
meta-llama/Llama-3.2-3B-Instruct,with_defense,harmbench,0.0150,0.0051,0.0431,0.1450,0.1029,0.2005,200,200,0.0000
meta-llama/Llama-3.2-3B-Instruct,with_defense,keyword,0.0200,0.0078,0.0503,0.1450,0.1029,0.2005,200,200,0.0000
microsoft/Phi-3-mini-4k-instruct,no_defense,harmbench,0.0750,0.0460,0.1200,0.2450,0.1906,0.3090,200,200,0.0000
microsoft/Phi-3-mini-4k-instruct,no_defense,keyword,0.0950,0.0617,0.1436,0.2450,0.1906,0.3090,200,200,0.0000
microsoft/Phi-3-mini-4k-instruct,with_defense,harmbench,0.0100,0.0027,0.0357,0.6550,0.5868,0.7174,200,200,0.0000
microsoft/Phi-3-mini-4k-instruct,with_defense,keyword,0.0250,0.0107,0.0572,0.6550,0.5868,0.7174,200,200,0.0000
